T	NOAA NCDC DAILY FSOD AWND
julian_day	mph
   5.8857338E-41	    8.100000    
   5.8858739E-41	    8.600000    
   5.8860141E-41	    8.400001    
   5.8861542E-41	    5.800000    
   5.8862943E-41	    5.300000    
   5.8864345E-41	    4.700000    
   5.8865746E-41	    5.800000    
   5.8867147E-41	    3.600000    
   5.8868548E-41	    9.900001    
   5.8869950E-41	    9.400001    
   5.8871351E-41	    2.700000    
   5.8872752E-41	    4.300000    
   5.8874154E-41	    8.000000    
   5.8875555E-41	    17.70000    
   5.8876956E-41	    13.80000    
   5.8878358E-41	    3.500000    
   5.8879759E-41	    12.80000    
   5.8881160E-41	    9.200000    
   5.8882561E-41	    7.800000    
   5.8883963E-41	    9.900001    
   5.8885364E-41	    8.400001    
   5.8886765E-41	    9.400001    
   5.8888167E-41	    15.00000    
   5.8889568E-41	    13.70000    
   5.8890969E-41	    8.600000    
   5.8892371E-41	    5.400000    
   5.8893772E-41	    4.600000    
   5.8895173E-41	    2.700000    
   5.8896574E-41	    5.800000    
   5.8897976E-41	    7.200000    
   5.8899377E-41	    5.200000    
   5.8900778E-41	    5.000000    
   5.8902180E-41	    3.100000    
   5.8903581E-41	    3.500000    
   5.8904982E-41	    10.40000    
   5.8906384E-41	    12.40000    
   5.8907785E-41	    6.400000    
   5.8909186E-41	    11.90000    
   5.8910587E-41	    10.80000    
   5.8911989E-41	    17.30000    
   5.8913390E-41	    13.80000    
   5.8914791E-41	    10.40000    
   5.8916193E-41	    10.70000    
   5.8917594E-41	    8.600000    
   5.8918995E-41	    8.800000    
   5.8920397E-41	    8.500000    
   5.8921798E-41	    4.900000    
   5.8923199E-41	    5.700000    
   5.8924600E-41	    8.700000    
   5.8926002E-41	    12.10000    
   5.8927403E-41	    9.300000    
   5.8928804E-41	    7.500000    
   5.8930206E-41	    9.900001    
   5.8931607E-41	    9.000000    
   5.8933008E-41	    13.60000    
   5.8934410E-41	    6.900000    
   5.8935811E-41	    9.200000    
   5.8937212E-41	    11.50000    
   5.8938613E-41	    8.200000    
   5.8940015E-41	    8.600000    
